company_name,ticker,index
FAIRFAX FINANCIAL HOLDINGS LIMITED,0KV5.L,MSCI World
"ROPER TECHNOLOGIES, INC.",ROP,MSCI World
STATE STREET CORPORATION,STT,MSCI World
BANK LEUMI LE-ISRAEL B.M.,LUMI.TA,MSCI World
"JAPAN POST HOLDINGS CO., LTD.",6178.T,MSCI World
PANASONIC HOLDINGS CORPORATION,6752.T,MSCI World
GIVAUDAN SA,GIVN.SW,MSCI World
KONE OYJ,KCR.HE,MSCI World
AHOLD DELHAIZE N.V.,1AD.MI,MSCI World
"WEC ENERGY GROUP, INC.",WEC,MSCI World
PRYSMIAN S.P.A.,PRY.MI,MSCI World
CROWN CASTLE INC.,CCI,MSCI World
POSTE ITALIANE S.P.A.,PST.MI,MSCI World
"AGILENT TECHNOLOGIES, INC.",A,MSCI World
RENESAS ELECTRONICS CORPORATION,6723.T,MSCI World
GE HEALTHCARE TECHNOLOGIES INC.,GEHC,MSCI World
FIFTH THIRD BANCORP,FITB,MSCI World
M&T BANK CORPORATION,MTB,MSCI World
ESTEE LAUDER,EL,MSCI World
COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,CTSH,MSCI World
"PRUDENTIAL FINANCIAL, INC.",PRU,MSCI World
ORIX CORPORATION,IX,MSCI World
IMPERIAL BRANDS PLC,IMB.L,MSCI World
LINDT,LSPP.F,MSCI World
AP MOLLER MAERSK,MAERBC.XD,MSCI World
"MITSUI FUDOSAN CO., LTD.",8801.T,MSCI World
"PAYCHEX, INC.",PAYX,MSCI World
HANNOVER RE,HVRRF,MSCI World
EQT CORPORATION,EQT,MSCI World
"DAIICHI SANKYO COMPANY, LIMITED",4568.T,MSCI World
KENVUE INC.,KVUE,MSCI World
"SEVEN & I HOLDINGS CO., LTD.",3382.T,MSCI World
WOODSIDE ENERGY GROUP LTD,WDS,MSCI World
KONGSBERG GRUPPEN ASA,KOZ1.F,MSCI World
"DAIKIN INDUSTRIES,LTD.",6367.T,MSCI World
KIMBERLY-CLARK CORPORATION,KMB,MSCI World
ARCH CAPITAL GROUP LTD.,ACGL,MSCI World
INTACT FINANCIAL CORPORATION,IFC.TO,MSCI World
BANK HAPOALIM B.M.,POLI.TA,MSCI World
"AXON ENTERPRISE, INC.",AXON,MSCI World
"LIVE NATION ENTERTAINMENT, INC.",LYV,MSCI World
